Butikk,Bonus,Link
Etihad Airways,"1,5 % (20 poeng per 100kr)",https://trumfnetthandel.no/cashback/etihad-airways-trumf
Eurodel,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/eurodel-trumf
Evenstad Musikk,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/evenstad-musikk-trumf
Evoride,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/evoride-trumf
Expedia,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfexpedia-eu
Extreme Fitness,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/extreme-fitness-trumf
Familiebutikken,"8,1 % (109 poeng per 100kr)",https://trumfnetthandel.no/cashback/familiebutikken
Farfetch,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/farfetch-trumf
Fjord Line,10 % (135 poeng per 100kr),https://trumfnetthandel.no/cashback/fjord-line-trumf
Flixbus,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/flixbus-trumf2
Foodstuff,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/foodstuff-trumf
Foss Sport,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/foss-sport-trumf
FotoKnudsen,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumffotoknudsen
Framsport,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/framsport-trumf
Fredrik & Louisa,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/fredrik-and-louisa-trumf
Fruugo,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/fruugo-trumf
Fyri Resort,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/fyri-resort-trumf
Fyrklövern,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/fyrklovern-trumf
G-Star,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/g-star-raw-trumf
Gaminghuset,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/gaminghuset
Geggamoja,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/geggamoja-trumf
GetYourGuide,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/getyourguide-trumf
Gina Tricot,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/gina-tricot-trumf
Go City,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/go-city-trumf
Goboken,90 kr (1215 poeng),https://trumfnetthandel.no/cashback/goboken-trumf
Golfsenteret,"4,3 % (58 poeng per 100kr)",https://trumfnetthandel.no/cashback/golfsenteret-trumf
Grønt Fokus,"1,5 % (20 poeng per 100kr)",https://trumfnetthandel.no/cashback/gront-fokus-trumf
Gullfunn,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/gullfunn-trumf
Guttelus,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/guttelus-trumf
Gymgrossisten,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfgymgrossisten
H&M,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/h-and-m-trumf
Haglöfs,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/haglofs-trumf
